UserID,Prediction,Actual,Hit-Ratio,confi
94609,"[3, 204, 101, 220, 22, 313, 206, 11, 73, 498, 497, 487, 289, 205, 460]","{0, 1, 2, 3, 4, 5}",0.16666666666666666,0-0.2
121207,"[292, 468, 0, 10, 447, 404, 360, 278, 217, 119, 306, 388, 223, 137, 361]","{0, 1}",0.5,0.4-0.6
115180,"[0, 25, 276, 350, 461, 357, 418, 98, 426, 165, 212, 182, 353, 296, 281]","{0, 1}",0.5,0.4-0.6
174320,"[1, 120, 499, 357, 208, 166, 326, 107, 388, 0, 284, 165, 245, 285, 332]","{0, 1, 2, 3, 4}",0.4,0.4-0.6
51239,"[223, 83, 211, 243, 187, 0, 15, 146, 230, 89, 385, 182, 20, 407, 222]",{0},1.0,0.8-1.0
22078,"[368, 246, 370, 36, 259, 237, 220, 173, 418, 375, 338, 168, 331, 99, 226]","{0, 1, 2, 3}",0.0,0-0.2
159009,"[389, 459, 171, 409, 443, 146, 46, 232, 248, 0, 168, 250, 335, 397, 18]",{0},1.0,0.8-1.0
67943,"[336, 305, 62, 153, 460, 17, 81, 48, 190, 22, 82, 447, 463, 236, 191]","{0, 1}",0.0,0-0.2
11686,"[27, 319, 76, 308, 162, 149, 470, 489, 426, 428, 198, 210, 425, 150, 151]","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}",0.0,0-0.2
16996,"[4, 444, 382, 9, 501, 243, 283, 230, 487, 173, 491, 236, 348, 439, 238]","{0, 1, 2, 3, 4, 5, 6}",0.14285714285714285,0-0.2
148342,"[0, 204, 138, 480, 404, 315, 94, 342, 258, 415, 207, 443, 48, 151, 114]","{0, 1, 2}",0.3333333333333333,0.2-0.4
167391,"[493, 77, 225, 445, 0, 134, 500, 355, 114, 57, 87, 411, 155, 314, 459]",{0},1.0,0.8-1.0
177927,"[128, 310, 420, 160, 57, 304, 26, 152, 496, 462, 461, 352, 66, 370, 114]","{0, 1, 2, 3, 4, 5, 6}",0.0,0-0.2
109761,"[65, 336, 453, 0, 245, 456, 331, 496, 162, 463, 3, 400, 24, 479, 194]",{0},1.0,0.8-1.0
51021,"[2, 212, 307, 352, 251, 243, 417, 275, 199, 52, 316, 40, 426, 190, 467]","{0, 1, 2}",0.3333333333333333,0.2-0.4
56279,"[442, 132, 415, 435, 199, 143, 475, 4, 151, 74, 278, 336, 323, 380, 303]","{0, 1, 2, 3, 4}",0.2,0.2-0.4
162684,"[3, 453, 57, 32, 301, 145, 2, 487, 156, 76, 122, 143, 346, 351, 90]","{0, 1, 2, 3}",0.5,0.4-0.6
201536,"[335, 1, 301, 238, 201, 59, 455, 356, 416, 231, 418, 451, 296, 191, 49]","{0, 1}",0.5,0.4-0.6
114074,"[0, 184, 85, 422, 288, 122, 241, 444, 460, 326, 335, 130, 64, 142, 482]","{0, 1}",0.5,0.4-0.6
147014,"[189, 198, 324, 88, 296, 47, 469, 1, 386, 37, 474, 329, 352, 267, 214]","{0, 1}",0.5,0.4-0.6
390,"[72, 387, 465, 19, 423, 414, 215, 242, 356, 232, 333, 6, 306, 438, 233]","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13}",0.07142857142857142,0-0.2
9680,"[0, 458, 413, 187, 126, 391, 288, 392, 65, 122, 19, 399, 323, 9, 485]","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12}",0.15384615384615385,0-0.2
18728,"[9, 111, 146, 422, 228, 434, 187, 75, 470, 6, 173, 369, 147, 491, 34]","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}",0.1,0-0.2
50791,"[2, 256, 461, 117, 175, 20, 1, 125, 271, 450, 458, 372, 21, 110, 404]","{0, 1, 2, 3}",0.5,0.4-0.6
71804,"[1, 211, 140, 267, 419, 51, 135, 264, 184, 331, 417, 431, 473, 324, 445]","{0, 1}",0.5,0.4-0.6
46468,"[5, 396, 60, 427, 165, 42, 259, 471, 168, 178, 263, 0, 1, 161, 405]","{0, 1, 2, 3, 4, 5, 6}",0.42857142857142855,0.4-0.6
45405,"[422, 186, 470, 409, 273, 157, 0, 223, 116, 73, 48, 58, 198, 365, 404]","{0, 1}",0.5,0.4-0.6
86851,"[3, 299, 315, 376, 384, 436, 222, 407, 328, 492, 284, 115, 164, 361, 49]","{0, 1, 2, 3, 4}",0.2,0.2-0.4
157331,"[0, 79, 164, 220, 152, 359, 239, 242, 493, 392, 360, 265, 420, 428, 104]",{0},1.0,0.8-1.0
138633,"[351, 363, 57, 94, 257, 184, 5, 0, 280, 501, 282, 323, 503, 373, 133]","{0, 1, 2, 3, 4, 5, 6, 7, 8}",0.2222222222222222,0.2-0.4
17942,"[335, 5, 399, 4, 32, 359, 372, 373, 98, 186, 300, 122, 7, 334, 223]","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13}",0.21428571428571427,0.2-0.4
154470,"[1, 471, 244, 315, 50, 0, 328, 408, 479, 321, 406, 2, 394, 371, 85]","{0, 1, 2}",1.0,0.8-1.0
102877,"[470, 279, 0, 278, 430, 137, 12, 315, 208, 186, 147, 262, 399, 445, 122]",{0},1.0,0.8-1.0
62011,"[2, 171, 270, 367, 1, 201, 234, 261, 45, 484, 134, 448, 410, 496, 191]","{0, 1, 2, 3}",0.5,0.4-0.6
176710,"[4, 447, 195, 494, 191, 476, 186, 321, 107, 352, 39, 2, 380, 68, 5]","{0, 1, 2, 3, 4, 5}",0.5,0.4-0.6
80295,"[33, 234, 225, 472, 0, 456, 56, 487, 183, 317, 80, 185, 47, 69, 306]","{0, 1}",0.5,0.4-0.6
160732,"[354, 326, 321, 191, 62, 180, 381, 1, 300, 442, 221, 245, 240, 68, 238]","{0, 1, 2}",0.3333333333333333,0.2-0.4
136738,"[3, 1, 502, 282, 412, 306, 115, 501, 432, 303, 5, 229, 0, 178, 291]","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}",0.4,0.4-0.6
109293,"[7, 288, 280, 23, 127, 431, 3, 349, 1, 206, 389, 270, 117, 213, 381]","{0, 1, 2, 3, 4, 5, 6, 7, 8}",0.3333333333333333,0.2-0.4
183160,"[267, 1, 41, 59, 407, 426, 342, 496, 79, 219, 138, 139, 265, 279, 384]","{0, 1, 2, 3}",0.25,0.2-0.4
173034,"[283, 6, 379, 403, 45, 366, 129, 132, 148, 235, 240, 187, 498, 475, 444]","{0, 1}",0.0,0-0.2
118275,"[0, 219, 310, 38, 340, 228, 98, 396, 51, 267, 213, 455, 290, 422, 45]","{0, 1, 2, 3}",0.25,0.2-0.4
66848,"[2, 485, 66, 457, 307, 8, 324, 346, 253, 107, 136, 144, 1, 204, 290]","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14}",0.2,0.2-0.4
51434,"[499, 361, 150, 248, 332, 187, 489, 233, 403, 356, 141, 460, 223, 190, 60]","{0, 1, 2}",0.0,0-0.2
180232,"[427, 467, 286, 506, 96, 308, 257, 157, 274, 58, 137, 474, 354, 505, 394]","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13}",0.0,0-0.2
48399,"[0, 357, 139, 458, 126, 92, 426, 282, 67, 432, 256, 252, 389, 48, 212]","{0, 1}",0.5,0.4-0.6
197469,"[467, 31, 155, 263, 56, 298, 441, 310, 388, 223, 249, 171, 438, 356, 120]",{0},0.0,0-0.2
155614,"[1, 333, 277, 285, 137, 498, 381, 155, 485, 335, 325, 74, 145, 183, 197]","{0, 1}",0.5,0.4-0.6
96642,"[378, 361, 310, 257, 489, 145, 460, 7, 156, 1, 64, 344, 31, 119, 268]","{0, 1}",0.5,0.4-0.6
56276,"[5, 385, 428, 439, 7, 236, 347, 280, 8, 442, 24, 400, 172, 219, 200]","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13}",0.21428571428571427,0.2-0.4
117619,"[148, 219, 20, 333, 280, 145, 498, 223, 65, 218, 135, 230, 248, 76, 217]","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}",0.0,0-0.2
131671,"[317, 15, 255, 303, 283, 68, 30, 421, 333, 182, 117, 134, 298, 292, 367]",{0},0.0,0-0.2
42255,"[0, 387, 303, 485, 145, 216, 290, 98, 397, 393, 301, 4, 273, 168, 169]","{0, 1}",0.5,0.4-0.6
105414,"[70, 448, 456, 343, 215, 405, 58, 23, 147, 296, 229, 118, 303, 132, 238]","{0, 1, 2}",0.0,0-0.2
106780,"[3, 70, 221, 158, 157, 31, 141, 350, 360, 51, 84, 500, 246, 217, 414]","{0, 1, 2, 3}",0.25,0.2-0.4
84757,"[225, 267, 153, 341, 169, 296, 451, 274, 281, 321, 0, 330, 432, 249, 14]","{0, 1, 2, 3}",0.25,0.2-0.4
194668,"[75, 430, 68, 69, 158, 466, 416, 486, 250, 102, 32, 4, 251, 9, 138]","{0, 1, 2, 3, 4, 5, 6}",0.14285714285714285,0-0.2
54019,"[81, 148, 126, 379, 323, 469, 441, 207, 52, 193, 77, 322, 10, 53, 186]",{0},0.0,0-0.2
203635,"[349, 0, 229, 28, 352, 194, 100, 316, 502, 85, 307, 259, 14, 210, 496]","{0, 1, 2, 3, 4, 5, 6}",0.14285714285714285,0-0.2
151567,"[67, 70, 423, 128, 171, 169, 334, 131, 46, 176, 381, 122, 453, 459, 480]","{0, 1, 2, 3, 4, 5, 6, 7}",0.0,0-0.2
168995,"[262, 0, 78, 292, 489, 109, 54, 337, 350, 126, 331, 295, 61, 288, 413]",{0},1.0,0.8-1.0
152979,"[1, 10, 119, 338, 58, 203, 42, 175, 132, 425, 19, 373, 431, 374, 85]","{0, 1}",0.5,0.4-0.6
70079,"[332, 213, 299, 3, 488, 323, 381, 495, 286, 147, 215, 293, 369, 358, 436]","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}",0.1,0-0.2
204683,"[0, 286, 417, 448, 288, 132, 410, 437, 8, 6, 360, 69, 113, 471, 491]","{0, 1}",0.5,0.4-0.6
166629,"[216, 251, 325, 328, 31, 14, 246, 42, 475, 450, 343, 220, 8, 417, 99]","{0, 1}",0.0,0-0.2
9989,"[2, 98, 21, 128, 370, 117, 360, 20, 41, 201, 371, 449, 244, 344, 14]","{0, 1, 2}",0.3333333333333333,0.2-0.4
72078,"[0, 2, 446, 209, 98, 292, 338, 33, 342, 488, 171, 414, 8, 397, 434]","{0, 1, 2}",0.6666666666666666,0.6-0.8
184874,"[416, 292, 129, 29, 99, 360, 197, 454, 47, 496, 279, 49, 160, 230, 63]",{0},0.0,0-0.2
90488,"[231, 192, 178, 225, 247, 1, 21, 0, 45, 439, 48, 376, 217, 402, 449]","{0, 1, 2, 3, 4, 5}",0.3333333333333333,0.2-0.4
115118,"[277, 1, 294, 304, 279, 293, 177, 69, 75, 263, 126, 137, 448, 441, 335]","{0, 1, 2, 3, 4}",0.2,0.2-0.4
132628,"[25, 1, 224, 213, 364, 202, 466, 261, 350, 101, 446, 242, 359, 397, 207]","{0, 1}",0.5,0.4-0.6
18437,"[487, 143, 229, 166, 456, 90, 149, 277, 420, 64, 412, 288, 163, 189, 152]",{0},0.0,0-0.2
10530,"[138, 23, 314, 214, 450, 7, 395, 200, 329, 222, 413, 353, 205, 337, 2]","{0, 1, 2, 3, 4, 5, 6, 7}",0.25,0.2-0.4
196956,"[67, 46, 136, 329, 142, 249, 23, 228, 488, 355, 113, 4, 300, 307, 270]",{0},0.0,0-0.2
204764,"[273, 90, 370, 392, 151, 112, 168, 449, 493, 469, 481, 72, 224, 286, 250]","{0, 1, 2, 3}",0.0,0-0.2
1945,"[216, 320, 35, 457, 279, 17, 447, 55, 191, 61, 224, 350, 249, 154, 302]",{0},0.0,0-0.2
46984,"[358, 412, 26, 472, 114, 25, 168, 11, 51, 453, 3, 257, 443, 65, 315]","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}",0.1,0-0.2
7200,"[372, 0, 331, 315, 147, 42, 283, 325, 482, 186, 394, 158, 13, 282, 185]","{0, 1, 2, 3, 4}",0.2,0.2-0.4
1158,"[0, 105, 429, 246, 97, 126, 321, 240, 98, 142, 348, 80, 18, 130, 374]","{0, 1, 2, 3, 4, 5}",0.16666666666666666,0-0.2
6169,"[0, 170, 173, 396, 418, 255, 337, 435, 503, 26, 40, 493, 1, 258, 178]","{0, 1, 2, 3}",0.5,0.4-0.6
61508,"[1, 436, 421, 491, 451, 209, 375, 423, 362, 61, 255, 91, 27, 64, 69]",{0},0.0,0-0.2
76312,"[111, 2, 472, 184, 149, 336, 192, 202, 65, 410, 155, 27, 101, 49, 62]","{0, 1}",0.0,0-0.2
12023,"[4, 396, 5, 423, 43, 268, 376, 186, 352, 253, 237, 321, 309, 325, 447]","{0, 1, 2, 3, 4, 5}",0.3333333333333333,0.2-0.4
78010,"[438, 1, 170, 49, 130, 451, 3, 458, 2, 221, 114, 468, 269, 339, 5]","{0, 1, 2, 3, 4, 5, 6}",0.5714285714285714,0.4-0.6
156250,"[33, 207, 258, 254, 7, 50, 415, 1, 82, 157, 111, 461, 177, 248, 3]",{0},0.0,0-0.2
59480,"[166, 19, 79, 62, 104, 53, 110, 9, 342, 193, 308, 350, 364, 189, 86]",{0},0.0,0-0.2
60717,"[393, 430, 18, 321, 243, 502, 28, 172, 214, 485, 177, 211, 229, 431, 400]","{0, 1, 2}",0.0,0-0.2
129728,"[28, 32, 283, 45, 0, 44, 252, 470, 428, 62, 106, 136, 50, 383, 48]","{0, 1}",0.5,0.4-0.6
97166,"[2, 456, 135, 224, 453, 6, 107, 54, 41, 257, 126, 414, 0, 214, 505]","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10}",0.2727272727272727,0.2-0.4
96773,"[70, 314, 360, 359, 151, 49, 457, 274, 69, 287, 29, 303, 229, 24, 126]","{0, 1, 2}",0.0,0-0.2
74082,"[115, 201, 103, 313, 502, 180, 65, 295, 493, 287, 247, 243, 146, 435, 18]","{0, 1, 2, 3, 4}",0.0,0-0.2
133042,"[305, 62, 199, 150, 280, 177, 328, 396, 93, 468, 335, 459, 387, 469, 95]","{0, 1, 2, 3, 4}",0.0,0-0.2
45380,"[3, 162, 145, 1, 417, 170, 329, 418, 279, 416, 107, 232, 200, 338, 483]","{0, 1, 2, 3, 4, 5}",0.3333333333333333,0.2-0.4
95590,"[0, 40, 7, 21, 133, 415, 477, 381, 114, 294, 110, 177, 351, 326, 148]",{0},1.0,0.8-1.0
130904,"[44, 485, 392, 430, 402, 75, 332, 134, 85, 484, 223, 100, 476, 159, 25]","{0, 1}",0.0,0-0.2
107050,"[0, 192, 3, 310, 420, 258, 64, 399, 96, 370, 274, 187, 136, 454, 10]","{0, 1}",0.5,0.4-0.6
194544,"[1, 303, 206, 48, 150, 189, 113, 151, 37, 350, 348, 282, 20, 415, 187]","{0, 1, 2}",0.3333333333333333,0.2-0.4
162649,"[0, 57, 289, 339, 60, 133, 41, 403, 237, 357, 465, 154, 458, 45, 93]","{0, 1}",0.5,0.4-0.6
160354,"[186, 10, 181, 486, 446, 227, 458, 484, 40, 426, 18, 70, 157, 135, 455]",{0},0.0,0-0.2
76,"[478, 434, 0, 486, 282, 375, 348, 135, 274, 457, 125, 145, 420, 291, 177]",{0},1.0,0.8-1.0
196808,"[0, 258, 465, 261, 137, 334, 95, 362, 280, 64, 161, 66, 448, 277, 355]",{0},1.0,0.8-1.0
187989,"[1, 381, 295, 5, 245, 348, 226, 22, 406, 488, 63, 390, 29, 328, 53]","{0, 1, 2, 3, 4, 5, 6}",0.2857142857142857,0.2-0.4
163066,"[125, 265, 262, 241, 497, 222, 260, 345, 365, 128, 2, 397, 341, 41, 308]","{0, 1, 2}",0.3333333333333333,0.2-0.4
182116,"[375, 62, 285, 248, 310, 114, 104, 362, 339, 181, 102, 4, 365, 446, 176]","{0, 1, 2}",0.0,0-0.2
28553,"[3, 287, 1, 433, 181, 438, 47, 461, 383, 496, 325, 347, 278, 237, 261]","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10}",0.18181818181818182,0-0.2
174513,"[473, 223, 370, 344, 503, 258, 31, 403, 109, 265, 410, 390, 197, 417, 16]","{0, 1, 2, 3, 4, 5}",0.0,0-0.2
199315,"[1, 20, 232, 5, 249, 45, 39, 368, 332, 285, 237, 194, 210, 105, 209]","{0, 1, 2, 3, 4, 5, 6}",0.2857142857142857,0.2-0.4
91532,"[0, 85, 379, 131, 89, 111, 204, 2, 171, 156, 127, 477, 112, 359, 323]",{0},1.0,0.8-1.0
70770,"[26, 464, 116, 218, 209, 353, 263, 52, 435, 258, 335, 91, 477, 366, 290]",{0},0.0,0-0.2
80451,"[186, 427, 388, 461, 29, 460, 113, 324, 363, 308, 229, 81, 239, 468, 109]",{0},0.0,0-0.2
180460,"[3, 209, 39, 2, 119, 316, 157, 442, 44, 251, 501, 61, 68, 233, 339]","{0, 1, 2, 3, 4, 5}",0.3333333333333333,0.2-0.4
142151,"[1, 241, 191, 494, 156, 108, 305, 462, 319, 195, 440, 292, 96, 464, 119]","{0, 1}",0.5,0.4-0.6
24598,"[0, 113, 163, 15, 261, 153, 347, 449, 138, 162, 141, 513, 60, 306, 175]","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15}",0.125,0-0.2
65934,"[310, 323, 438, 230, 268, 112, 280, 25, 78, 213, 212, 26, 452, 248, 191]",{0},0.0,0-0.2
58957,"[276, 157, 149, 0, 470, 424, 399, 13, 84, 291, 97, 109, 324, 290, 359]","{0, 1, 2}",0.3333333333333333,0.2-0.4
42641,"[1, 213, 3, 338, 39, 137, 323, 356, 367, 333, 451, 30, 194, 90, 469]","{0, 1, 2, 3}",0.5,0.4-0.6
43449,"[1, 85, 497, 433, 157, 336, 238, 263, 104, 100, 487, 214, 397, 37, 88]","{0, 1}",0.5,0.4-0.6
202183,"[200, 113, 3, 467, 270, 443, 315, 135, 50, 314, 173, 489, 400, 71, 154]","{0, 1, 2, 3}",0.25,0.2-0.4
191162,"[73, 55, 94, 179, 311, 436, 80, 185, 376, 408, 210, 294, 358, 276, 46]",{0},0.0,0-0.2
136630,"[14, 1, 413, 201, 109, 169, 352, 495, 435, 186, 503, 6, 330, 359, 386]","{0, 1, 2, 3, 4, 5, 6}",0.2857142857142857,0.2-0.4
171008,"[101, 158, 160, 46, 225, 47, 465, 344, 187, 324, 297, 11, 2, 97, 446]","{0, 1, 2}",0.3333333333333333,0.2-0.4
23625,"[210, 34, 94, 74, 145, 301, 374, 340, 108, 198, 12, 263, 7, 83, 485]","{0, 1, 2}",0.0,0-0.2
127239,"[300, 153, 402, 275, 488, 29, 199, 21, 452, 17, 436, 352, 216, 14, 1]","{0, 1, 2, 3, 4, 5}",0.16666666666666666,0-0.2
153677,"[418, 21, 405, 284, 478, 100, 65, 135, 372, 1, 175, 173, 296, 251, 121]","{0, 1, 2, 3, 4, 5}",0.16666666666666666,0-0.2
7909,"[488, 274, 351, 232, 145, 187, 140, 118, 497, 81, 354, 166, 381, 167, 436]","{0, 1, 2, 3, 4, 5, 6}",0.0,0-0.2
173558,"[489, 388, 3, 481, 415, 167, 158, 402, 383, 54, 419, 76, 248, 169, 225]","{0, 1, 2, 3}",0.25,0.2-0.4
32669,"[49, 172, 0, 305, 293, 429, 268, 370, 400, 380, 76, 129, 2, 173, 368]","{0, 1, 2, 3, 4}",0.4,0.4-0.6
139951,"[302, 1, 271, 0, 340, 417, 147, 332, 148, 184, 495, 44, 79, 64, 222]","{0, 1, 2, 3, 4, 5, 6, 7, 8}",0.2222222222222222,0.2-0.4
159963,"[0, 390, 474, 370, 204, 225, 488, 129, 484, 44, 92, 365, 115, 128, 329]",{0},1.0,0.8-1.0
89396,"[334, 129, 6, 447, 206, 269, 370, 23, 172, 279, 102, 321, 45, 81, 491]","{0, 1, 2, 3}",0.0,0-0.2
69024,"[2, 282, 45, 96, 115, 226, 359, 419, 207, 151, 181, 131, 230, 101, 346]","{0, 1, 2, 3, 4}",0.2,0.2-0.4
84488,"[3, 139, 316, 485, 171, 154, 359, 0, 322, 16, 367, 376, 447, 435, 173]","{0, 1, 2, 3, 4}",0.4,0.4-0.6
58089,"[107, 241, 412, 325, 403, 494, 191, 413, 291, 151, 158, 228, 435, 332, 22]",{0},0.0,0-0.2
143887,"[80, 318, 152, 486, 26, 213, 390, 55, 199, 177, 269, 262, 216, 2, 108]","{0, 1, 2, 3}",0.25,0.2-0.4
20827,"[0, 415, 103, 255, 318, 297, 287, 469, 286, 247, 249, 419, 358, 42, 169]","{0, 1, 2, 3, 4, 5}",0.16666666666666666,0-0.2
151140,"[413, 91, 8, 426, 53, 1, 434, 455, 303, 246, 199, 393, 372, 366, 81]","{0, 1, 2, 3, 4, 5, 6, 7, 8}",0.2222222222222222,0.2-0.4
202029,"[1, 350, 417, 474, 147, 33, 412, 24, 35, 294, 6, 2, 482, 173, 159]","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13}",0.21428571428571427,0.2-0.4
153956,"[1, 450, 445, 203, 438, 5, 62, 269, 107, 363, 314, 202, 7, 490, 440]","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13}",0.21428571428571427,0.2-0.4
176356,"[133, 89, 1, 413, 66, 126, 314, 75, 403, 482, 127, 476, 395, 115, 474]","{0, 1, 2, 3, 4, 5, 6}",0.14285714285714285,0-0.2
147431,"[250, 0, 153, 54, 175, 84, 365, 4, 297, 343, 357, 447, 95, 171, 169]","{0, 1}",0.5,0.4-0.6
4667,"[380, 314, 348, 310, 212, 38, 411, 366, 410, 399, 115, 42, 354, 36, 104]","{0, 1, 2, 3, 4, 5, 6}",0.0,0-0.2
102992,"[0, 431, 177, 201, 6, 454, 132, 306, 409, 458, 264, 268, 122, 482, 376]","{0, 1, 2, 3, 4, 5, 6, 7}",0.25,0.2-0.4
15141,"[3, 489, 495, 80, 31, 184, 424, 11, 135, 29, 146, 119, 490, 27, 123]","{0, 1, 2, 3, 4}",0.2,0.2-0.4
108221,"[0, 499, 305, 351, 183, 176, 225, 30, 342, 104, 7, 425, 420, 401, 148]",{0},1.0,0.8-1.0
99176,"[292, 183, 443, 471, 113, 169, 481, 204, 331, 374, 221, 42, 153, 359, 327]","{0, 1, 2}",0.0,0-0.2
7916,"[470, 114, 70, 0, 259, 61, 452, 319, 358, 291, 149, 230, 318, 46, 370]","{0, 1, 2, 3, 4}",0.2,0.2-0.4
144074,"[2, 129, 179, 485, 373, 58, 349, 122, 56, 266, 221, 22, 196, 374, 467]","{0, 1, 2}",0.3333333333333333,0.2-0.4
84407,"[9, 409, 3, 7, 10, 6, 500, 283, 17, 176, 288, 479, 175, 89, 199]","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18}",0.3157894736842105,0.2-0.4
38298,"[413, 380, 138, 164, 493, 74, 455, 166, 363, 53, 505, 322, 276, 404, 137]","{0, 1, 2, 3, 4, 5, 6, 7, 8}",0.0,0-0.2
186358,"[92, 359, 220, 225, 160, 323, 429, 451, 150, 58, 287, 286, 108, 218, 428]","{0, 1, 2}",0.0,0-0.2
167189,"[437, 260, 365, 249, 35, 31, 270, 76, 407, 373, 323, 267, 413, 21, 337]","{0, 1, 2, 3}",0.0,0-0.2
127241,"[56, 349, 313, 258, 121, 345, 53, 202, 359, 52, 1, 18, 310, 0, 382]",{0},1.0,0.8-1.0
155055,"[15, 287, 508, 6, 12, 270, 172, 109, 190, 477, 147, 312, 480, 187, 81]","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20}",0.14285714285714285,0-0.2
170826,"[0, 150, 34, 112, 492, 235, 419, 375, 354, 152, 96, 56, 31, 22, 275]",{0},1.0,0.8-1.0
183568,"[0, 385, 178, 31, 134, 307, 462, 320, 11, 115, 42, 211, 279, 338, 156]","{0, 1, 2, 3, 4}",0.2,0.2-0.4
4361,"[504, 1, 360, 296, 184, 271, 154, 357, 8, 60, 69, 81, 227, 243, 107]","{0, 1, 2, 3, 4, 5, 6, 7, 8}",0.2222222222222222,0.2-0.4
